Country Name,Country Code,Population,GDP
Saudi Arabia,SAU,33699947,7.86522E+11
Sudan,SDN,41801533,40851536134
Senegal,SEN,15854360,24129599552
Singapore,SGP,5638676,3.64157E+11
Solomon Islands,SLB,652858,1395608472
Sierra Leone,SLE,7650154,4085114794
El Salvador,SLV,6420744,26057000000
San Marino,SMR,33785,0
Somalia,SOM,15008154,4720727278
Serbia,SRB,6982084,50597289147
South Sudan,SSD,10975920,0
Sao Tome and Principe,STP,211028,422296762.3
Suriname,SUR,575991,3590753769
Slovak Republic,SVK,5447011,1.05905E+11
Slovenia,SVN,2067372,54007972106
Sweden,SWE,10183175,5.56086E+11
Eswatini,SWZ,1136191,4710618472
Seychelles,SYC,96762,1590180446
Syrian Arab Republic,SYR,16906283,0
Turks and Caicos Islands,TCA,37665,1022312010
Chad,TCD,15477751,11273115239
Togo,TGO,7889094,5358722983
Thailand,THA,69428524,5.04993E+11
Tajikistan,TJK,9100837,7522947810
Turkmenistan,TKM,5850908,40761142857
Timor-Leste,TLS,1267972,2581000000
Tonga,TON,103197,450353313.9
Trinidad and Tobago,TTO,1389858,23808146748
Tunisia,TUN,11565204,39871132268
Turkey,TUR,82319724,7.7135E+11
Tuvalu,TUV,11508,42587778.47
Tanzania,TZA,56318348,58001200572
Uganda,UGA,42723139,27461440192
Ukraine,UKR,44622516,1.30832E+11
Uruguay,URY,3449299,59596885024
United States,USA,327167434,2.05443E+13
Uzbekistan,UZB,32955400,50499921558
St. Vincent and the Grenadines,VCT,110210,811300000
"Venezuela, RB",VEN,28870195,0
British Virgin Islands,VGB,29802,0
Vietnam,VNM,95540395,2.45214E+11
Vanuatu,VUT,292680,914301119.3
Samoa,WSM,196130,820491798.3
Kosovo,XKX,1845300,7938990793
"Yemen, Rep.",YEM,28498687,26914402224
South Africa,ZAF,57779622,3.68289E+11
Zambia,ZMB,17351822,26720073436
Zimbabwe,ZWE,14439018,31000519447
